system:index,LAI,date,timestamp,.geo
2025_05_09,0.297461929,2025/5/9,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_05_17,0.382741117,2025/5/17,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_05_25,0.396446701,2025/5/25,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_06_02,0.331472081,2025/6/2,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_06_10,0.339593909,2025/6/10,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_06_18,0.427411168,2025/6/18,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_06_26,0.462944162,2025/6/26,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_07_04,0.485279188,2025/7/4,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_07_12,0.664467005,2025/7/12,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_07_20,0.520812183,2025/7/20,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_07_28,0.847715736,2025/7/28,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_08_05,0.84822335,2025/8/5,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_08_13,0.83248731,2025/8/13,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_08_21,0.755329949,2025/8/21,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_08_29,0.684444444,2025/8/29,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_09_06,1.466497462,2025/9/6,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_09_14,1.248730964,2025/9/14,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_09_22,1.095939086,2025/9/22,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_09_30,0.893908629,2025/9/30,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_10_08,0.758375635,2025/10/8,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_10_16,0.726903553,2025/10/16,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_10_24,0.718781726,2025/10/24,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_11_01,0.438071066,2025/11/1,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_11_09,0.487898089,2025/11/9,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_11_17,0.408629442,2025/11/17,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_11_25,0.497461929,2025/11/25,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_12_03,0.473604061,2025/12/3,1.76E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_12_11,0.527918782,2025/12/11,1.77E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_12_19,0.533502538,2025/12/19,1.77E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_12_27,0.45177665,2025/12/27,1.77E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
